Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
152,340321594,2002,400000,Manuell,Diesel,Sølv,Bakhjulsdrift,193,2.9,1735,194,5,Stasjonsvogn,5,12,Personbil,2000,16845
153,340290640,2006,186000,Manuell,Diesel,Grå,Forhjulsdrift,140,2.0,1668,169,7,KombiFemdørs,5,9,Personbil,1750,19845
154,340119615,2004,166357,Manuell,Bensin,Svart,Forhjulsdrift,116,1.6,1220,158,5,KombiFemdørs,5,3,Personbil,1200,16845
155,340149792,2006,180708,Manuell,Bensin,Sølv,Forhjulsdrift,69,1.0,980,127,5,KombiFemdørs,5,5,Personbil,750,17074
156,339995699,2003,67431,Automat,Bensin,Grå,Forhjulsdrift,110,1.6,1175,188,5,Sedan,4,2,Personbil,1300,15074
157,340069322,2008,187680,Manuell,Diesel,Svart,Forhjulsdrift,140,2.0,1470,149,5,Stasjonsvogn,5,4,Personbil,1600,19900
158,339964178,2003,189000,Manuell,Bensin,Blå,Forhjulsdrift,110,1.6,995,144,4,KombiFemdørs,4,12,Personbil,1000,18375
159,336643799,2005,252120,Manuell,Bensin,Svart,Forhjulsdrift,102,1.6,1350,187,5,Stasjonsvogn,5,11,Personbil,1200,16845
160,339881532,2005,261864,Manuell,Diesel,Grå,Forhjulsdrift,105,1.9,1659,162,5,Flerbruksbil,5,9,Personbil,1500,16845
161,339877270,2005,229123,Manuell,Bensin,Svart,Bakhjulsdrift,129,2.0,1360,175,5,Sedan,4,3,Personbil,1250,17845
162,334024807,2004,332000,Automat,Bensin,Grå,Forhjulsdrift,179,2.0,1586,243,5,Stasjonsvogn,5,8,Personbil,1600,18777
163,339776107,2004,223713,Manuell,Bensin,Blå,Forhjulsdrift,102,1.6,1487,192,5,Stasjonsvogn,4,7,Personbil,1200,16000
164,335857999,2008,217958,Manuell,Diesel,Svart,Forhjulsdrift,109,1.6,1336,132,5,Stasjonsvogn,5,4,Personbil,1300,20000
165,339584300,2010,200000,Manuell,Diesel,Grå,Forhjulsdrift,129,2.2,1657,139,5,Stasjonsvogn,4,2,Personbil,1400,16845
166,339516372,2007,448000,Automat,Diesel,Sølv,Bakhjulsdrift,170,2.1,1735,194,5,Stasjonsvogn,5,6,Personbil,2100,16745
167,329422750,2006,344000,Automat,Diesel,Grå,Firehjulsdrift,179,2.7,2033,226,5,KombiFemdørs,4,3,Personbil,1900,19777
168,339440883,2008,245000,Manuell,Diesel,Svart,Forhjulsdrift,109,1.6,1122,119,4,Sedan,2,18,Personbil,625,20000
169,330008385,2006,361573,Manuell,Bensin,Blå,Firehjulsdrift,177,2.4,1685,266,5,Stasjonsvogn,5,5,Personbil,1700,19845
170,338132295,2003,303155,Manuell,Diesel,Grå,Forhjulsdrift,131,1.9,1450,154,5,Stasjonsvogn,4,5,Personbil,1600,16845
171,335773130,2007,135550,Manuell,Diesel,Svart,Forhjulsdrift,105,1.9,1420,138,5,Sedan,4,4,Personbil,1400,17999
172,338931478,2006,188132,Manuell,Diesel,Grå,Forhjulsdrift,109,1.6,1492,148,5,Stasjonsvogn,5,4,Personbil,1300,19845
173,336170012,2008,175000,Manuell,Diesel,Blå,Forhjulsdrift,110,1.7,1350,145,5,Stasjonsvogn,5,4,Personbil,1400,17845
174,338651261,2009,343700,Manuell,Diesel,Grå,Forhjulsdrift,120,1.9,1640,149,5,Stasjonsvogn,5,3,Personbil,1500,17500
175,338562717,2011,230000,Manuell,Diesel,Sølv,Forhjulsdrift,90,1.6,1344,122,5,Stasjonsvogn,4,4,Personbil,1400,16845
176,338528239,2006,236600,Manuell,Diesel,Sølv,Forhjulsdrift,105,1.9,1642,160,5,Flerbruksbil,5,2,Personbil,1500,19900
