id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Hjuldrift,Effekt,Vekt,AntallSeter,Karosseri,AntallDører,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
102,339697718,1999,166300,Manuell,Bensin,Forhjulsdrift,75,1105,5,Stasjonsvogn,5,Personbil,1000,13845
103,339672436,2004,123456,Manuell,Bensin,Firehjulsdrift,163,1525,5,Stasjonsvogn,4,Personbil,1600,13845
104,339631836,2007,170190,Manuell,Bensin,Forhjulsdrift,64,1173,5,Coupe,4,Personbil,800,10845
105,339377270,2010,303968,Manuell,Diesel,Forhjulsdrift,105,1603,7,Flerbruksbil,5,Personbil,1200,14845
106,339218905,2007,240000,Manuell,Diesel,Firehjulsdrift,150,1643,5,KombiFemdørs,5,Personbil,1400,15000
107,339173613,2008,201600,Manuell,Bensin,Forhjulsdrift,64,1165,5,Stasjonsvogn,5,Personbil,750,14900
108,339030559,2007,335000,Manuell,Diesel,Forhjulsdrift,126,1465,5,Stasjonsvogn,5,Personbil,1300,11845
109,338826148,2006,299081,Manuell,Diesel,Forhjulsdrift,101,1285,5,Stasjonsvogn,5,Personbil,1300,11845
110,338799098,2004,180715,Manuell,Bensin,Forhjulsdrift,95,1195,5,Stasjonsvogn,2,Personbil,1000,13074
111,338499955,2002,209876,Manuell,Bensin,Forhjulsdrift,86,1000,5,KombiFemdørs,4,Personbil,900,12000
112,338409566,2003,139900,Manuell,Bensin,Forhjulsdrift,122,1300,5,Sedan,4,Personbil,1300,11880
113,338377505,2009,260000,Manuell,Diesel,Forhjulsdrift,120,1490,5,Sedan,4,Personbil,1500,12845
114,338257867,2008,191016,Manuell,Diesel,Forhjulsdrift,109,1319,5,Sedan,4,Personbil,1300,15000
115,338025371,2004,252552,Manuell,Diesel,Forhjulsdrift,75,1100,4,KombiTredørs,2,Personbil,650,13074
116,335952689,2003,246000,Automat,Bensin,Forhjulsdrift,179,1562,5,Sedan,4,Personbil,1600,12345
117,337315694,2008,197769,Automat,Bensin,Forhjulsdrift,87,1025,5,Sedan,4,Personbil,750,14300
118,337298899,2007,181000,Manuell,Diesel,Forhjulsdrift,121,1430,5,Stasjonsvogn,4,Personbil,1000,13845
119,337200969,2008,218000,Manuell,Diesel,Forhjulsdrift,101,1736,7,Flerbruksbil,5,Personbil,1450,15000
120,334372452,2001,314700,Automat,Bensin,Firehjulsdrift,200,1687,5,Stasjonsvogn,5,Personbil,1800,13777
121,318452067,2004,250080,Manuell,Bensin,Forhjulsdrift,165,1645,7,Flerbruksbil,5,Personbil,1600,13845
122,336328005,2004,195526,Automat,Bensin,Forhjulsdrift,87,935,5,KombiFemdørs,4,Personbil,900,14777
123,326510990,2004,238000,Manuell,Bensin,Forhjulsdrift,122,1280,5,Stasjonsvogn,5,Personbil,1200,11777
124,335943039,2008,165000,Manuell,Diesel,Forhjulsdrift,143,1535,7,Flerbruksbil,4,Personbil,1400,12800
125,335892487,2003,335000,Manuell,Bensin,Forhjulsdrift,140,1509,5,Stasjonsvogn,5,Personbil,1800,14845
126,326820238,2004,266000,Automat,Bensin,Firehjulsdrift,150,1483,5,SUV,5,Personbil,1200,13777
127,335181068,2006,150000,Manuell,Bensin,Bakhjulsdrift,116,1415,5,Sedan,4,Personbil,1100,13845
128,335147584,2004,246000,Manuell,Bensin,Forhjulsdrift,116,1245,5,KombiFemdørs,4,Personbil,1300,14000
129,331081387,2003,204000,Manuell,Diesel,Forhjulsdrift,101,1752,3,Kasse,5,Varebil,2000,15000
130,334478152,2003,203000,Manuell,Diesel,Firehjulsdrift,116,1370,5,KombiFemdørs,4,Personbil,1500,14777
131,334094084,2004,75000,Manuell,Bensin,Forhjulsdrift,60,1053,5,KombiFemdørs,4,Personbil,926,14777
132,332526123,2008,200000,Manuell,Bensin,Forhjulsdrift,95,1050,5,KombiFemdørs,4,Personbil,1000,13777
