,Finnkode,car_name,Link,Price
1119,280865825,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=280865825,30229.0
1120,341391741,Subaru Justy,https://www.finn.no/car/used/ad.html?finnkode=341391741,31845.0
1121,341172288,Toyota RAV4,https://www.finn.no/car/used/ad.html?finnkode=341172288,31845.0
1124,341358742,Opel Insignia,https://www.finn.no/car/used/ad.html?finnkode=341358742,30845.0
1126,341353839,Toyota Auris,https://www.finn.no/car/used/ad.html?finnkode=341353839,34900.0
1128,334713916,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=334713916,35000.0
1130,341341203,Fiat 500,https://www.finn.no/car/used/ad.html?finnkode=341341203,34900.0
1131,341306747,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=341306747,33845.0
1132,341298493,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=341298493,30845.0
1135,341281953,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=341281953,30845.0
1136,341282917,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=341282917,34845.0
1137,341281152,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=341281152,34845.0
1138,341273519,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=341273519,30800.0
1139,316626815,Ford Transit,https://www.finn.no/car/used/ad.html?finnkode=316626815,31422.0
1141,341260483,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=341260483,33074.0
1142,341088813,Subaru Forester,https://www.finn.no/car/used/ad.html?finnkode=341088813,31845.0
1143,341233688,Citroen Berlingo,https://www.finn.no/car/used/ad.html?finnkode=341233688,35000.0
1144,341224034,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=341224034,34305.0
