,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
2990,338666860,2012,227 593 km,Manuell,Diesel,4 305 kr (avgifter),Les mer,28.09.2012,Hvit,Firehjulsdrift,150 Hk,"2,2 l",1 663 kg,136 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,UF56044,JMZKEN91600131181,2 000 kg
2991,338404122,2004,300 000 km,Automat,Diesel,1 845 kr (avgifter),Les mer,16.12.2004,Svart,Bakhjulsdrift,200 Hk,"2,1 l",1 735 kg,197 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,BR28916,WDB2112061A673295,2 100 kg
2992,311566140,2008,232 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,15.04.2008,Rød,Forhjulsdrift,120 Hk,"1,9 l",1 580 kg,147 g/km,5,Sedan,4,12,Norge,Bruktbil til salgs,Personbil,AX96539,YS3FF46V081139417,1 500 kg
2994,338316722,2005,167 000 km,Automat,Bensin,1 845 kr (avgifter),Les mer,25.02.2005,Sølv,Firehjulsdrift,125 Hk,2 l,1 450 kg,200 g/km,5,Stasjonsvogn,4,8,Norge,Bruktbil til salgs,Personbil,BR12358,JF1SG5LR55G052627,1 500 kg
2995,338277310,2009,198 000 km,Manuell,Diesel,Fritatt (avgifter),Les mer,03.09.2009,Svart,Forhjulsdrift,131 Hk,2 l,1 730 kg,159 g/km,5,Stasjonsvogn,4,9,Norge,Bruktbil til salgs,Personbil,KH64618,W0LGT87K891111543,1 600 kg
2996,338268007,2009,184 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,21.10.2009,Grå,Bakhjulsdrift,90 Hk,2 l,1 380 kg,118 g/km,5,Kombi 5-dørs,4,7,Norge,Bruktbil til salgs,Personbil,KH64823,WBAUH51040E312537,1 200 kg
2997,337969300,2008,145 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,01.08.2008,Svart,Forhjulsdrift,103 Hk,"1,5 l",1 418 kg,146 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,AX97684,SJNFCAJ10U1261798,1 200 kg
2998,338178200,2009,242 000 km,Automat,Diesel,Fritatt (avgifter),Les mer,03.08.2009,Grå,Forhjulsdrift,105 Hk,"1,9 l",1 647 kg,148 g/km,7,Flerbruksbil,5,8,Norge,Bruktbil til salgs,Personbil,RJ98310,WVGZZZ1TZAW014830,1 500 kg
3003,337852382,2008,247 640 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,11.06.2008,Sølv,Bakhjulsdrift,117 Hk,"2,5 l",1 845 kg,224 g/km,3,Kasse,5,4,Norge,Bruktbil til salgs,Varebil,SU63186,JT121JK1200043049,2 000 kg
3004,337965978,2011,156 000 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,26.05.2011,Hvit,Forhjulsdrift,75 Hk,"1,6 l",1 368 kg,139 g/km,2,Kasse,6,8,Norge,Bruktbil til salgs,Varebil,DN65596,WV1ZZZ2KZBX287724,1 400 kg
3005,337960891,2011,196 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,23.05.2011,Sølv,Forhjulsdrift,105 Hk,"1,6 l",1 239 kg,99 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,NV63316,WVWZZZ1KZBW310599,1 400 kg
3006,336964749,2012,189 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,27.03.2012,Svart,Forhjulsdrift,163 Hk,2 l,1 386 kg,134 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,KH82307,WF0KXXGCBKCA32184,1 500 kg
3009,337609514,2010,133 200 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,30.11.2009,Svart,Forhjulsdrift,109 Hk,"1,6 l",1 519 kg,140 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,AY10844,VF7RW9HZC9L564037,1 300 kg
3013,337246572,2012,116 277 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,17.07.2012,Grå,Forhjulsdrift,105 Hk,"1,4 l",1 165 kg,134 g/km,5,Kombi 3-dørs,2,4,Norge,Bruktbil til salgs,Personbil,SV29741,ZAR95500001098221,500 kg
3016,336796271,2010,123 577 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,04.11.2013,Hvit,Forhjulsdrift,69 Hk,"1,2 l",905 kg,113 g/km,4,Cabriolet,2,7,Norge,Bruktbil til salgs,Personbil,AE39770,ZFA31200000547844,800 kg
3023,336411532,2008,206 800 km,Automat,Diesel,1 845 kr (avgifter),Les mer,11.06.2008,Svart,Forhjulsdrift,109 Hk,2 l,1 470 kg,161 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,DL92013,WDD2452071J315082,1 500 kg
3024,336303174,2009,238 600 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,05.11.2009,Blå,Forhjulsdrift,103 Hk,"1,5 l",1 511 kg,149 g/km,7,Flerbruksbil,5,8,Norge,Bruktbil til salgs,Personbil,AE25323,SJNJCAJ10U6039968,1 200 kg
3031,333769399,2014,161 000 km,Manuell,Bensin,4 147 kr (avgifter),Les mer,03.10.2014,Grå,Forhjulsdrift,101 Hk,1 l,1 204 kg,114 g/km,5,Flerbruksbil,4,5,Norge,Bruktbil til salgs,Personbil,CF75513,WF0KXXERJKEB50555,750 kg
3032,333277230,2010,90 000 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,17.06.2010,Blå,Forhjulsdrift,69 Hk,1 l,1 020 kg,118 g/km,5,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,RK19825,VNKKG96310A288929,750 kg
3034,332813479,2011,156 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,29.01.2011,Grå,Forhjulsdrift,110 Hk,"1,7 l",1 571 kg,119 g/km,5,Kombi 5-dørs,4,8,Norge,Bruktbil til salgs,Personbil,VH28357,W0LPD6EGXBG020955,1 400 kg
3039,330992487,2012,64 000 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,01.12.2011,Hvit,Forhjulsdrift,68 Hk,1 l,920 kg,95 g/km,5,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,PP99257,KNABE511ACT165365,700 kg
3040,331407845,2007,170 000 km,Automat,Diesel,1 777 kr (avgifter),Les mer,04.01.2007,Svart,Bakhjulsdrift,150 Hk,"2,1 l",1 610 kg,194 g/km,5,Stasjonsvogn,5,8,Norge,Bruktbil til salgs,Personbil,SU40130,WDB2032081F902107,1 500 kg
3042,331083866,2010,185 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,16.09.2010,Svart,Forhjulsdrift,109 Hk,2 l,1 435 kg,139 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,KH71599,WDD2452071J574042,1 500 kg
3044,330825621,2013,389 000 km,Manuell,Diesel,Fritatt (avgifter),Les mer,17.09.2013,Hvit,Forhjulsdrift,124 Hk,2 l,1 510 kg,119 g/km,5,Stasjonsvogn,4,5,Norge,Bruktbil til salgs,Personbil,PX58279,SB1ED76L90E119581,1 600 kg
3045,330710682,2008,143 000 km,Automat,Diesel,1 777 kr (avgifter),Les mer,18.09.2008,Grå,Forhjulsdrift,109 Hk,2 l,1 470 kg,158 g/km,5,Kombi 5-dørs,4,2,Norge,Bruktbil til salgs,Personbil,ZH25325,WDD2452071J399594,1 500 kg
3050,328766146,2008,100 012 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,17.01.2008,Grå,Forhjulsdrift,90 Hk,"1,6 l",1 414 kg,123 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,LY64696,VF3WE9HXC34178490,1 150 kg
3051,328738596,2012,182 820 km,Manuell,Diesel,4 147 kr (avgifter),Les mer,29.08.2012,Grå,Forhjulsdrift,110 Hk,2 l,1 816 kg,137 g/km,7,Flerbruksbil,5,5,Norge,Bruktbil til salgs,Personbil,AE35437,W0LPD9EL9C2017560,1 300 kg
3055,278231118,2008,152 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,03.10.2007,Blå,Forhjulsdrift,90 Hk,"1,9 l",1 251 kg,132 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,RJ76419,WVWZZZ1KZ8W080799,1 400 kg
3057,327696265,2009,178 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,06.03.2009,Svart,Forhjulsdrift,90 Hk,"1,6 l",1 025 kg,110 g/km,5,Kombi 3-dørs,3,1,Norge,Bruktbil til salgs,Personbil,KH67711,WF0GXXGAJG9U52847,750 kg
3065,322853718,2013,86 000 km,Manuell,Diesel,1 422 kr (avgifter),Les mer,02.07.2013,Rød,Forhjulsdrift,90 Hk,"1,2 l",1 290 kg,126 g/km,2,Kasse,4,4,Norge,Bruktbil til salgs,Varebil,RK63738,W0L6WXC1AC9511417,1 000 kg
3067,322483710,2010,129 482 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,22.06.2010,Hvit,Forhjulsdrift,75 Hk,"1,6 l",1 433 kg,153 g/km,3,Flerbruksbil,4,2,Norge,Bruktbil til salgs,Varebil,LJ39040,VF77D9HTCAJ615009,750 kg
3068,321142290,2011,156 200 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,08.02.2011,Svart,Forhjulsdrift,90 Hk,"1,6 l",1 291 kg,110 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,CV59652,TMADC51SABJ178833,1 400 kg
3090,341282110,2018,102 500 km,Automat,Diesel,4 305 kr (avgifter),Les mer,05.07.2017,Hvit,Firehjulsdrift,190 Hk,2 l,1 605 kg,139 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,BE12932,TMBLJ9NP9J7506603,2 200 kg
3091,341748480,2018,122 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,10.09.2018,Svart,Firehjulsdrift,150 Hk,2 l,1 886 kg,167 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,NV74669,WV1ZZZ7HZJH182618,2 500 kg
3095,341790034,2018,95 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,28.03.2018,Rød,Firehjulsdrift,150 Hk,"2,4 l",2 055 kg,178 g/km,2,Pickup,4,3,Norge,Bruktbil til salgs,Varebil,NV73905,AHTHB3CC302019296,3 500 kg
3097,340383252,2018,97 000 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,20.12.2017,Svart,Firehjulsdrift,407 Hk,2 l,2 043 kg,49 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,BT74274,YV1UZBABDJ1049670,2 100 kg
3098,340515104,2018,199 672 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,13.12.2017,Svart,Firehjulsdrift,407 Hk,2 l,2 205 kg,49 g/km,7,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,DR39798,YV1LFBABDJ1338375,2 400 kg
3099,339651689,2018,94 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,30.11.2018,Hvit,Forhjulsdrift,99 Hk,"1,6 l",1 317 kg,110 g/km,3,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Varebil,DR55958,VF77BBHY6JN553028,1 250 kg
3101,341474848,2018,113 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,02.05.2018,Hvit,Firehjulsdrift,177 Hk,2 l,2 152 kg,234 g/km,2,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,SV89267,WV1ZZZSYZJ9032276,3 000 kg
3103,341911795,2009,251 600 km,Automat,Diesel,1 845 kr (avgifter),Les mer,14.11.2008,Blå,Forhjulsdrift,140 Hk,2 l,1 587 kg,177 g/km,5,Sedan,4,3,Norge,Bruktbil til salgs,Personbil,HS95216,TMBAE73T699018502,1 800 kg
3105,341899011,2011,209 200 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,29.08.2011,Svart,Forhjulsdrift,126 Hk,2 l,1 596 kg,140 g/km,5,Stasjonsvogn,4,2,Norge,Bruktbil til salgs,Personbil,UF51134,SB1ED76L70E071403,1 600 kg
3110,338343221,2009,74 700 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,17.11.2009,Hvit,Forhjulsdrift,114 Hk,2 l,1 750 kg,222 g/km,3,Kasse,5,4,Norge,Bruktbil til salgs,Varebil,BR83538,VSKF4BHA6UY613714,2 000 kg
3111,341867970,2009,137 000 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,11.11.2009,Brun,Forhjulsdrift,114 Hk,"1,6 l",1 404 kg,165 g/km,7,Flerbruksbil,5,2,Norge,Bruktbil til salgs,Personbil,SD48823,SJNJAAJ10U6045104,1 200 kg
3114,341834258,2010,129 482 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,22.06.2010,Hvit,Forhjulsdrift,75 Hk,"1,6 l",1 433 kg,153 g/km,3,Flerbruksbil,4,2,Norge,Bruktbil til salgs,Varebil,LJ39040,VF77D9HTCAJ615009,750 kg
3118,341801989,2011,119 300 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,01.04.2011,Grå,Forhjulsdrift,122 Hk,"1,4 l",1 215 kg,144 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,AE34975,WVWZZZ1KZBP130423,1 300 kg
3128,341707371,2005,226 482 km,Manuell,Diesel,Ikke oppgitt (avgifter),Les mer,23.12.2005,Blå,Forhjulsdrift,105 Hk,"1,9 l",1 335 kg,134 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,BR41788,WAUZZZ8P26A118506,1 400 kg
3137,341466693,2013,174 600 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,05.06.2013,Sølv,Firehjulsdrift,94 Hk,"1,2 l",1 035 kg,126 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,PD45856,JSAFZD72S00134802,1 000 kg
3147,341911573,2013,58 000 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,22.03.2013,Grå,Forhjulsdrift,84 Hk,"1,2 l",970 kg,114 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,RK60151,NLHBA51BADZ165043,850 kg
3166,341930076,2018,79 800 km,Automat,Diesel,4 305 kr (avgifter),Les mer,19.04.2018,Blå,Firehjulsdrift,180 Hk,2 l,1 740 kg,160 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,YA70312,WF0AXXWPMAJY00053,2 100 kg
3171,341926071,2018,74 300 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,27.07.2018,Sølv,Forhjulsdrift,258 Hk,"1,4 l",1 540 kg,38 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,VH99115,WAUZZZ8V0JA133397,1 400 kg
3178,341918799,2018,71 313 km,Automat,Bensin,4 305 kr (avgifter),Les mer,17.01.2018,Grå,Forhjulsdrift,147 Hk,"1,8 l",1 415 kg,142 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,SV86825,SB1EG76L40E136246,1 600 kg
3190,341908434,2018,59 600 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,12.06.2018,Hvit,Firehjulsdrift,122 Hk,2 l,1 503 kg,152 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,VH97878,WV1ZZZ2KZJX138685,1 450 kg
3213,341889388,2018,88 900 km,Automat,Elektrisitet,4 305 kr (avgifter),Les mer,18.09.2018,Svart,Forhjulsdrift,109 Hk,0 l,1 505 kg,0 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,EV16136,KNAJX81EFJ7035875,0 kg
3224,341850201,2018,38 731 km,Automat,Bensin,4 305 kr (avgifter),Les mer,22.02.2018,Oransje,Forhjulsdrift,110 Hk,"1,2 l",1 203 kg,131 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,CF93398,VF72RHNZWJ4168922,840 kg
3228,340908360,2018,76 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,31.05.2018,Blå,Forhjulsdrift,122 Hk,2 l,1 654 kg,139 g/km,3,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,NV74261,VF7VFAHKHJZ035383,2 500 kg
3235,341829986,2018,60 763 km,Automat,Bensin,3 074 kr (avgifter),Les mer,22.05.2018,Sølv,Forhjulsdrift,110 Hk,1 l,1 182 kg,108 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,FT61052,WVWZZZAUZJP111991,1 300 kg
3241,341811240,2018,105 000 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,15.09.2017,Sølv,Forhjulsdrift,141 Hk,"1,6 l",1 519 kg,29 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,KJ32350,KNACD81DGJ5106322,1 300 kg
3264,341788213,2018,81 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,21.03.2018,Hvit,Forhjulsdrift,101 Hk,"1,5 l",1 442 kg,115 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,JV28295,WF0SXXWPGSJY88781,1 200 kg
3291,341766336,2018,115 000 km,Automat,Bensin,4 305 kr (avgifter),Les mer,28.12.2017,Hvit,Forhjulsdrift,165 Hk,"1,6 l",1 365 kg,133 g/km,7,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,BE15840,VF3M45GZWHL074481,1 350 kg
3299,341760748,2018,126 800 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,15.09.2017,Grå,Forhjulsdrift,258 Hk,"1,4 l",1 540 kg,40 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,NV73060,WVWZZZAUZJW800865,1 500 kg
3310,341753478,2018,124 922 km,Automat,Bensin,4 305 kr (avgifter),Les mer,30.08.2018,Svart,Forhjulsdrift,160 Hk,"1,5 l",1 447 kg,144 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,DR52102,W0VZT8GBXJ1070322,1 405 kg
3322,341748774,2018,102 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,09.11.2017,Sølv,Firehjulsdrift,150 Hk,2 l,1 475 kg,125 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,KJ33658,WAUZZZGA3JA044311,1 800 kg
3348,341481481,2018,54 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,19.01.2018,Hvit,Firehjulsdrift,150 Hk,2 l,1 874 kg,173 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,NF88106,WV1ZZZ7HZJH075599,2 500 kg
3356,341462117,2018,83 000 km,Automat,Bensin,4 305 kr (avgifter),Les mer,30.01.2018,Grå,Forhjulsdrift,165 Hk,"1,6 l",1 320 kg,130 g/km,7,Flerbruksbil,5,1,Norge,Bruktbil til salgs,Personbil,AA70584,VF73A5GZTHJ919092,1 500 kg
3399,341386875,2018,93 796 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,06.02.2018,Svart,Firehjulsdrift,197 Hk,"2,5 l",1 690 kg,118 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,AJ88016,JTMRJREV90D191908,1 650 kg
3400,341386748,2018,57 860 km,Manuell,Diesel,4 305 kr (avgifter),Les mer,11.12.2017,Beige,Firehjulsdrift,150 Hk,2 l,1 383 kg,124 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,PR45306,TMBLJ9NE6J0213717,2 000 kg
3406,341379518,2018,113 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,30.10.2017,Sølv,Firehjulsdrift,150 Hk,2 l,1 874 kg,173 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,DR35999,WV1ZZZ7HZJH061825,2 500 kg
3429,341360323,2018,75 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,20.06.2018,Grå,Forhjulsdrift,177 Hk,2 l,1 535 kg,128 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,UF80697,VR1JJEHZRJY081675,1 850 kg
3442,340339090,2018,106 690 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,27.09.2018,Hvit,Forhjulsdrift,99 Hk,"1,6 l",1 317 kg,110 g/km,3,Kasse,4,3,Norge,Bruktbil til salgs,Varebil,KB48799,VF37BBHY6JJ685595,1 250 kg
3444,341345491,2018,124 480 km,Automat,Diesel,1 476 kr (avgifter),Les mer,15.02.2018,Svart,Firehjulsdrift,150 Hk,2 l,1 886 kg,167 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,FT60147,WV1ZZZ7HZJH113645,2 500 kg
3471,341326884,2018,53 000 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,06.11.2018,Blå,Forhjulsdrift,95 Hk,"1,4 l",1 195 kg,132 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,NF91651,ZFA35600006F31406,1 200 kg
3486,341303953,2018,154 430 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,11.10.2018,Rød,Firehjulsdrift,99 Hk,"1,6 l",1 484 kg,119 g/km,3,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,ZH54113,VF37FBHY6JJ606508,1 230 kg
3487,341302506,2018,52 070 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,01.11.2018,Hvit,Forhjulsdrift,100 Hk,"1,5 l",1 622 kg,123 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,SD90468,WF0SXXWPGSJB60378,1 122 kg
3497,341274251,2018,163 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,28.02.2018,Sølv,Firehjulsdrift,190 Hk,"2,1 l",2 111 kg,177 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,AS56094,WDF44760313419985,2 500 kg
3514,341262311,2018,95 831 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,15.03.2018,Grå,Firehjulsdrift,407 Hk,2 l,1 963 kg,49 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,BT78554,YV1PWBANDJ1062865,2 100 kg
3517,341261364,2018,112 200 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,25.09.2018,Oransje,Forhjulsdrift,95 Hk,"1,2 l",1 430 kg,127 g/km,3,Pickup,2,1,Norge,Bruktbil til salgs,Varebil,JD84336,ZFA26300006J90066,1 000 kg
3523,279447710,2018,72 600 km,Automat,El + Bensin,4 034 kr (avgifter),Les mer,02.10.2017,Rød,Firehjulsdrift,202 Hk,2 l,1 860 kg,41 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,UF77731,JMBXDGG2WJZ000296,1 500 kg
3526,341252657,2018,68 950 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,27.12.2017,Hvit,Forhjulsdrift,102 Hk,2 l,1 392 kg,127 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,RL28072,WV1ZZZ2KZJX045475,1 500 kg
3552,342021201,2016,160 180 km,Automat,Bensin,4 305 kr (avgifter),Les mer,18.05.2016,Svart,Forhjulsdrift,147 Hk,"1,8 l",1 415 kg,148 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,BT43205,SB1EG76L50E114921,1 600 kg
3563,341987384,2016,40 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,04.12.2015,Hvit,Bakhjulsdrift,180 Hk,2 l,1 597 kg,114 g/km,5,Sedan,5,3,Norge,Bruktbil til salgs,Personbil,BT31136,SAJBB4BN1GCY02621,2 000 kg
3578,341952619,2016,28 000 km,Automat,Bensin,3 074 kr (avgifter),Les mer,29.02.2016,Grå,Forhjulsdrift,101 Hk,1 l,1 046 kg,114 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,RK97963,WF0DXXGAKDGR40013,900 kg
3580,341945962,2016,105 200 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,30.06.2016,Beige,Forhjulsdrift,136 Hk,"1,8 l",1 335 kg,83 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,UF72325,SB1ZS3JE00E237592,345 kg
3583,341946273,2016,123 000 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,23.03.2016,Grå,Forhjulsdrift,110 Hk,"1,2 l",1 105 kg,111 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,AE47763,TMBEB6NH1G4535987,1 100 kg
3585,341946006,2016,67 276 km,Automat,Diesel,4 305 kr (avgifter),Les mer,27.05.2016,Blå,Firehjulsdrift,150 Hk,2 l,1 641 kg,134 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,NF78912,WF0AXXWPMAGG46488,2 100 kg
3597,341929026,2016,69 900 km,Automat,Bensin,4 305 kr (avgifter),Les mer,21.03.2016,Rød,Firehjulsdrift,150 Hk,2 l,1 324 kg,146 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,SD79772,JMZDKFW7A20143488,1 200 kg
3628,341860285,2016,73 600 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,17.09.2015,Grå,Firehjulsdrift,442 Hk,3 l,2 390 kg,84 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,LY78485,WDC1660631A631331,2 000 kg
3630,341859857,2016,186 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,23.03.2016,Oransje,Forhjulsdrift,102 Hk,2 l,1 779 kg,162 g/km,3,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,PR35425,WV1ZZZ7HZGH103802,2 200 kg
3639,341814440,2016,63 100 km,Automat,Elektrisitet,3 074 kr (avgifter),Les mer,30.09.2015,Hvit,Bakhjulsdrift,168 Hk,0 l,1 195 kg,0 g/km,4,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,EL78058,WBY1Z21080V309589,0 kg
3664,341787901,2016,170 081 km,Automat,Bensin,4 305 kr (avgifter),Les mer,29.01.2016,Svart,Firehjulsdrift,180 Hk,"1,8 l",1 375 kg,154 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,CV79711,TMBLD9NE1G0162935,1 600 kg
3698,341612723,2016,241 200 km,Automat,Bensin,4 305 kr (avgifter),Les mer,27.04.2016,Hvit,Forhjulsdrift,122 Hk,"1,6 l",1 320 kg,124 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,DP95128,WDD1760421V128266,1 200 kg
3705,341498723,2016,104 500 km,Automat,Diesel,4 305 kr (avgifter),Les mer,11.08.2016,Svart,Firehjulsdrift,150 Hk,2 l,1 590 kg,128 g/km,7,Flerbruksbil,5,1,Norge,Bruktbil til salgs,Personbil,RL39511,WBA2E910X05A45883,1 600 kg
3710,341453951,2016,94 500 km,Automat,Diesel,4 305 kr (avgifter),Les mer,30.06.2016,Svart,Bakhjulsdrift,136 Hk,"2,1 l",1 540 kg,119 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,CV81403,WDD2052071F392092,1 800 kg
3714,341426469,2016,113 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,14.04.2016,Rød,Firehjulsdrift,175 Hk,"2,2 l",1 628 kg,144 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,VH78412,JMZKEN92800471661,2 000 kg
