,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
7792,341899625,2020,93 660 km,Automat,Diesel,4 305 kr (avgifter),Les mer,27.03.2020,Grå,Firehjulsdrift,184 Hk,2 l,1 586 kg,164 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,BE23851,TMBLK9NE7L0107342,2 000 kg
7795,341897685,2020,74 250 km,Automat,Diesel,4 305 kr (avgifter),Les mer,07.11.2019,Grå,Firehjulsdrift,184 Hk,2 l,1 559 kg,168 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,BE23133,TMBLK9NE3L0062688,2 000 kg
7807,341891662,2020,176 600 km,Automat,Diesel,1 476 kr (avgifter),Les mer,13.05.2020,Hvit,Forhjulsdrift,177 Hk,2 l,1 682 kg,145 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,XK29110,VF3VFAHHWJZ060432,2 200 kg
7823,341885914,2020,99 500 km,Automat,Diesel,4 305 kr (avgifter),Les mer,23.12.2019,Blå,Firehjulsdrift,150 Hk,2 l,1 805 kg,187 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,LJ77634,TMBLJ9NSXL8505896,2 500 kg
7836,341860183,2020,182 500 km,Automat,Diesel,1 476 kr (avgifter),Les mer,11.12.2019,Grå,Firehjulsdrift,213 Hk,2 l,2 375 kg,199 g/km,2,Pickup,4,1,Norge,Bruktbil til salgs,Varebil,LJ76977,6FPPXXMJ2PKT43282,3 500 kg
7844,341830743,2020,40 297 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,30.06.2020,Hvit,Forhjulsdrift,150 Hk,2 l,1 642 kg,139 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,DR79691,VF7VFAHXKKZ091996,2 500 kg
7851,341822427,2020,32 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,23.01.2020,Grå,Forhjulsdrift,102 Hk,2 l,1 590 kg,168 g/km,2,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,HB85403,WV1ZZZ2KZLX062161,1 500 kg
7879,341792827,2020,40 775 km,Automat,Diesel,4 305 kr (avgifter),Les mer,29.05.2020,Grå,Firehjulsdrift,184 Hk,2 l,1 464 kg,135 g/km,5,Stasjonsvogn,4,1,Norge,Bruktbil til salgs,Personbil,NF98226,TMBLK9NE8L0151818,2 000 kg
7889,341786905,2020,83 600 km,Automat,Diesel,1 476 kr (avgifter),Les mer,12.12.2019,Hvit,Firehjulsdrift,150 Hk,2 l,1 455 kg,155 g/km,2,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,VJ17776,WV1ZZZ2KZLX048821,1 500 kg
7893,341784373,2020,35 900 km,Automat,Elektrisitet,Ikke oppgitt (avgifter),Les mer,31.07.2020,Grå,Firehjulsdrift,408 Hk,0 l,2 495 kg,0 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,EB59023,W1K2938901F008026,1 800 kg
