Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
341143509,2016,119 017 km,Automat,Bensin,3 074 kr (avgifter),06.09.2016,Hvit,Forhjulsdrift,110 Hk,1.2 l,1 103 kg,109 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,LJ64776,TMBJN6NJ1GZ077363,1 100 kg
341137834,2016,87 000 km,Automat,El + Bensin,4 305 kr (avgifter),02.02.2016,Rød,Firehjulsdrift,189 Hk,2 l,1 845 kg,42 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,SV68432,JMBXDGG2WGZ010374,1 500 kg
341112805,2016,120 000 km,Automat,Diesel,4 305 kr (avgifter),09.10.2015,Grå,Firehjulsdrift,272 Hk,3 l,1 995 kg,159 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,RK93122,WAUZZZ4M6GD020977,3 500 kg
341098228,2016,114 000 km,Manuell,Bensin,3 074 kr (avgifter),30.08.2016,Blå,Forhjulsdrift,205 Hk,1.6 l,1 200 kg,130 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,KB45996,VF3L35GTHFS019694,1 400 kg
341091543,2016,136 400 km,Automat,Bensin,4 305 kr (avgifter),06.06.2016,Hvit,Firehjulsdrift,180 Hk,2 l,1 570 kg,170 g/km,5,SUV/Offroad,4,1,Norge,Bruktbil til salgs,Personbil,FT54137,WVGZZZ5NZGW301776,2 500 kg
341014361,2016,38 900 km,Manuell,Bensin,3 074 kr (avgifter),27.09.2016,Brun,Forhjulsdrift,90 Hk,1.2 l,1 085 kg,107 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,UR96195,TMBEA6NH5H4512829,900 kg
340997682,2016,58 000 km,Manuell,Diesel,1 476 kr (avgifter),17.03.2016,Sølv,Forhjulsdrift,102 Hk,2 l,1 304 kg,120 g/km,2,Kasse,4,2,Norge,Bruktbil til salgs,Varebil,VH77411,WV1ZZZ2KZGX094650,1 500 kg
340991297,2016,145 100 km,Automat,El + Bensin,4 305 kr (avgifter),13.05.2016,Sølv,Forhjulsdrift,268 Hk,1.4 l,1 660 kg,0 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,BD97466,WVWZZZ3CZGE235190,1 600 kg
340919567,2016,119 500 km,Manuell,Diesel,1 476 kr (avgifter),29.08.2016,Rød,Forhjulsdrift,99 Hk,1.6 l,1 317 kg,110 g/km,3,Kasse,4,6,Norge,Bruktbil til salgs,Varebil,RZ39834,VF37BBHY6FJ858566,1 250 kg
340859201,2016,151 000 km,Automat,Diesel,4 305 kr (avgifter),18.07.2016,Blå,Firehjulsdrift,150 Hk,2 l,1 598 kg,149 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,KJ24210,WVGZZZ5NZGW306493,2 500 kg
340886787,2016,98 000 km,Automat,El + Bensin,4 305 kr (avgifter),14.07.2016,Grå,Firehjulsdrift,313 Hk,2 l,2 230 kg,77 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,BT59196,WBAKT010700U30765,2 700 kg
340881987,2016,112 500 km,Manuell,Diesel,4 305 kr (avgifter),01.04.2016,Grå,Forhjulsdrift,136 Hk,1.6 l,1 538 kg,99 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,UN36557,W0LGT6G36G1034536,1 800 kg
340615794,2016,144 000 km,Automat,Diesel,4 305 kr (avgifter),21.12.2015,Svart,Firehjulsdrift,163 Hk,2 l,1 745 kg,136 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,BT37462,WBAWZ5100G0M19291,2 400 kg
340562275,2016,119 000 km,Manuell,Diesel,1 476 kr (avgifter),25.02.2016,Hvit,Forhjulsdrift,128 Hk,2 l,1 686 kg,168 g/km,3,Kasse,5,2,Norge,Bruktbil til salgs,Varebil,HJ98070,YARXTAHZ8DZ073481,2 000 kg
340437681,2016,171 300 km,Automat,Diesel,1 476 kr (avgifter),06.04.2016,Sølv,Firehjulsdrift,150 Hk,2 l,1 886 kg,163 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,SV70523,WV1ZZZ7HZGH093500,2 500 kg
340433547,2016,128 000 km,Automat,Diesel,4 305 kr (avgifter),29.09.2015,Grå,Firehjulsdrift,313 Hk,3 l,2 110 kg,157 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,BT50085,WBAKS610700N60437,3 500 kg
340432641,2016,101 900 km,Manuell,Bensin,4 305 kr (avgifter),08.11.2016,Svart,Forhjulsdrift,114 Hk,1.2 l,1 412 kg,0 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,KT93259,SJNFEAJ11U1737746,1 200 kg
340408252,2016,174 500 km,Manuell,Diesel,1 476 kr (avgifter),29.02.2016,Svart,Firehjulsdrift,114 Hk,1.6 l,1 429 kg,154 g/km,3,Kasse,3,4,Norge,Bruktbil til salgs,Varebil,UF70518,VF77B9HL0EJ827733,910 kg
340373332,2016,51 200 km,Automat,Bensin,4 305 kr (avgifter),20.09.2016,Sølv,Firehjulsdrift,114 Hk,1.6 l,1 390 kg,146 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,YN61891,JF1GP3LC5GG267873,1 200 kg
340359166,2016,139 000 km,Manuell,Diesel,1 476 kr (avgifter),05.07.2016,Grå,Forhjulsdrift,101 Hk,1.5 l,1 443 kg,115 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,PR36948,WF0SXXWPGSGG42019,1 200 kg
340357238,2016,141 500 km,Manuell,Diesel,4 305 kr (avgifter),01.02.2016,Hvit,Forhjulsdrift,99 Hk,1.6 l,1 205 kg,86 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,SV68833,VF7NCBHY6FY579575,1 550 kg
