,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
2397,341052576,2011,93 000 km,Manuell,Diesel,1 845 kr (avgifter),26.09.2011,Firehjulsdrift,147 Hk,1 550 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 000 kg
2398,341045476,2006,101 000 km,Manuell,Bensin,1 845 kr (avgifter),05.07.2006,Firehjulsdrift,91 Hk,1 135 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2401,341027524,2010,222 000 km,Manuell,Diesel,1 845 kr (avgifter),04.01.2011,Firehjulsdrift,90 Hk,1 240 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,800 kg
2403,341024972,2005,186 156 km,Manuell,Bensin,1 845 kr (avgifter),28.08.2006,Bakhjulsdrift,116 Hk,1 205 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 200 kg
2407,341016215,2009,298 000 km,Manuell,Diesel,1 845 kr (avgifter),08.07.2015,Firehjulsdrift,136 Hk,1 613 kg,5,Flerbruksbil,4,Bruktbil til salgs,Personbil,2 100 kg
2409,341018229,2011,203 500 km,Manuell,Diesel,1 231 kr (avgifter),30.06.2011,Forhjulsdrift,90 Hk,1 390 kg,3,Kasse,4,Bruktbil til salgs,Varebil,950 kg
2414,340971902,2011,256 000 km,Manuell,Diesel,1 845 kr (avgifter),04.10.2010,Forhjulsdrift,105 Hk,1 140 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,1 200 kg
2416,340965340,2007,169 875 km,Manuell,Diesel,1 845 kr (avgifter),23.05.2007,Forhjulsdrift,90 Hk,1 251 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2417,340959111,2012,141 000 km,Automat,Diesel,Fritatt (avgifter),29.02.2012,Forhjulsdrift,111 Hk,1 280 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,600 kg
2418,340914627,2009,137 934 km,Manuell,Bensin,3 074 kr (avgifter),12.06.2009,Forhjulsdrift,69 Hk,940 kg,4,Kombi 3-dørs,2,Bruktbil til salgs,Personbil,800 kg
2419,340926180,2008,217 000 km,Automat,Diesel,1 845 kr (avgifter),03.09.2007,Forhjulsdrift,105 Hk,1 654 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
2421,340914756,2006,251 000 km,Manuell,Diesel,1 845 kr (avgifter),11.07.2006,Forhjulsdrift,150 Hk,1 525 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 800 kg
2423,340904588,1996,380 570 km,Manuell,Diesel,1 845 kr (avgifter),08.02.1996,Forhjulsdrift,77 Hk,1 845 kg,9,Kasse,4,Bruktbil til salgs,Personbil,1 770 kg
2424,340899864,2012,228 000 km,Manuell,Diesel,1 845 kr (avgifter),22.08.2011,Forhjulsdrift,105 Hk,1 239 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 400 kg
2426,339921798,2012,99 800 km,Manuell,Bensin,Fritatt (avgifter),23.05.2012,Forhjulsdrift,116 Hk,1 270 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
2429,329632621,2015,219 000 km,Manuell,Diesel,1 422 kr (avgifter),23.12.2014,Forhjulsdrift,75 Hk,1 304 kg,3,Stasjonsvogn,5,Bruktbil til salgs,Varebil,985 kg
2430,340871817,2007,453 000 km,Automat,Diesel,Fritatt (avgifter),20.09.2023,Bakhjulsdrift,170 Hk,1 530 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 800 kg
2432,339309199,2014,308 780 km,Manuell,Diesel,1 476 kr (avgifter),22.05.2014,Forhjulsdrift,95 Hk,1 449 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 200 kg
2433,304211348,2013,203 000 km,Manuell,Diesel,4 305 kr (avgifter),11.02.2013,Firehjulsdrift,105 Hk,1 496 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
2434,340852563,2008,134 700 km,Manuell,Diesel,1 845 kr (avgifter),12.03.2008,Forhjulsdrift,109 Hk,1 250 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,750 kg
2435,340830265,2011,96 000 km,Manuell,Diesel,1 845 kr (avgifter),31.10.2011,Forhjulsdrift,90 Hk,1 320 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2436,340805534,2003,148 500 km,Manuell,Bensin,1 845 kr (avgifter),27.01.2011,Bakhjulsdrift,116 Hk,1 310 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 250 kg
2437,340800104,2010,660 000 km,Automat,Diesel,1 845 kr (avgifter),06.04.2010,Bakhjulsdrift,170 Hk,1 770 kg,7,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,2 100 kg
2438,340789194,2009,162 000 km,Manuell,Diesel,1 231 kr (avgifter),23.10.2009,Forhjulsdrift,75 Hk,1 433 kg,3,Kasse,4,Bruktbil til salgs,Varebil,750 kg
2440,340751193,2007,252 000 km,Automat,Diesel,1 845 kr (avgifter),22.02.2007,Forhjulsdrift,170 Hk,1 600 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 600 kg
2442,340750624,2010,184 000 km,Automat,Diesel,1 845 kr (avgifter),09.03.2010,Forhjulsdrift,109 Hk,1 293 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 540 kg
2444,340734426,2009,192 500 km,Manuell,Diesel,1 845 kr (avgifter),31.03.2009,Forhjulsdrift,126 Hk,1 520 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 600 kg
2445,340707796,2009,297 000 km,Manuell,Bensin,1 845 kr (avgifter),26.08.2009,Forhjulsdrift,147 Hk,1 410 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 500 kg
2446,336719511,2011,117 000 km,Manuell,Bensin,3 074 kr (avgifter),20.12.2011,Forhjulsdrift,84 Hk,1 078 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
2447,335887716,2012,286 900 km,Manuell,Diesel,1 845 kr (avgifter),14.03.2013,Forhjulsdrift,105 Hk,1 468 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
2450,340636392,2013,155 000 km,Manuell,Diesel,Fritatt (avgifter),08.02.2024,Forhjulsdrift,114 Hk,1 090 kg,5,Kombi 3-dørs,2,Bruktbil til salgs,Personbil,1 150 kg
