,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
2451,340612620,2008,148 400 km,Manuell,Diesel,1 845 kr (avgifter),17.03.2008,Forhjulsdrift,105 Hk,1 249 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2452,340607496,2008,239 750 km,Manuell,Diesel,1 845 kr (avgifter),09.04.2008,Firehjulsdrift,140 Hk,1 770 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
2455,340573203,2010,253 510 km,Manuell,Diesel,1 845 kr (avgifter),02.12.2010,Forhjulsdrift,105 Hk,1 320 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 400 kg
2458,340553977,2008,246 821 km,Automat,Diesel,1 845 kr (avgifter),30.01.2008,Forhjulsdrift,131 Hk,1 696 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 750 kg
2459,340551548,2007,323 700 km,Automat,Diesel,1 845 kr (avgifter),06.11.2007,Firehjulsdrift,150 Hk,1 679 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 350 kg
2461,340548439,2009,134 900 km,Automat,Bensin,1 845 kr (avgifter),11.03.2009,Firehjulsdrift,107 Hk,1 400 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2463,340472308,2009,263 000 km,Manuell,Diesel,1 845 kr (avgifter),08.07.2009,Firehjulsdrift,150 Hk,1 530 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 600 kg
2464,340440496,2009,136 407 km,Manuell,Bensin,1 845 kr (avgifter),07.10.2008,Forhjulsdrift,116 Hk,1 270 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2469,336509311,2008,187 000 km,Manuell,Diesel,1 845 kr (avgifter),02.01.2008,Forhjulsdrift,90 Hk,1 280 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2470,340371805,2009,171 679 km,Manuell,Bensin,1 845 kr (avgifter),16.04.2009,Forhjulsdrift,114 Hk,1 399 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
2471,340370057,2009,145 694 km,Manuell,Diesel,Fritatt (avgifter),26.09.2008,Forhjulsdrift,90 Hk,1 280 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2472,340344554,2006,248 800 km,Automat,Diesel,1 845 kr (avgifter),10.03.2006,Firehjulsdrift,185 Hk,2 058 kg,7,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,2 250 kg
2473,340362652,2008,344 200 km,Automat,Diesel,1 845 kr (avgifter),03.09.2007,Forhjulsdrift,163 Hk,1 578 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
2477,340313863,2011,239 000 km,Manuell,Diesel,Fritatt (avgifter),29.04.2011,Forhjulsdrift,116 Hk,1 400 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
2478,340305645,2015,98 000 km,Automat,Diesel,1 476 kr (avgifter),18.09.2015,Forhjulsdrift,90 Hk,1 320 kg,3,Kasse,4,Bruktbil til salgs,Varebil,940 kg
2479,340266953,2011,227 200 km,Automat,Bensin,Fritatt (avgifter),30.09.2011,Forhjulsdrift,99 Hk,1 063 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,800 kg
2481,340254189,2006,327 000 km,Automat,Diesel,1 845 kr (avgifter),12.12.2005,Firehjulsdrift,185 Hk,2 058 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 250 kg
2483,340250874,2012,175 000 km,Automat,Diesel,Fritatt (avgifter),20.07.2012,Firehjulsdrift,170 Hk,2 089 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 056 kg
