Finnkode,Equipment
337342176,"[""ABS-bremser"", ""Airbag foran"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Lettmet. felg sommer"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
337175532,"[""El.vinduer"", ""Elektrisk sete u. memory"", ""Klimaanlegg"", ""Oppvarmede seter"", ""Seter i delskinn"", ""Soltak/glasstak"", ""Vinterhjul""]"
336590906,"[""ABS-bremser"", ""Airbag foran"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Klimaanlegg 2-soner"", ""Klimaanlegg bak"", ""Multifunksjonsratt"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Turteller""]"
336183048,[]
335345437,"[""Klimaanlegg"", ""Servostyring""]"
328873302,"[""ABS-bremser"", ""Airbag foran"", ""Airbag foran side"", ""Antiskrens"", ""CD-spiller"", ""El.vinduer"", ""Fjernstyrt sentrall\u00e5s"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
326581266,[]
326163471,[]
325586826,"[""El.vinduer"", ""Hengerfeste, fast krok"", ""Kj\u00f8recomputer"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
323307060,"[""Hengerfeste""]"
322624064,[]
317512983,[]
312416240,"[""Hengerfeste"", ""Sommerdekk""]"
308096688,[]
306412306,[]
299261308,[]
295670731,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""CD-spiller"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""M\u00f8rke ruter bak"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sideairbager"", ""Sommerhjul"", ""Takrails"", ""Vinterhjul""]"
293419507,"[""ABS-bremser"", ""Airbag foran"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Metallic lakk"", ""Radio FM"", ""Servostyring"", ""Startsperre"", ""Vinterhjul""]"
341050603,"[""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektrisk sete m. memory"", ""Elektriske speil"", ""Hengerfeste, avtagbart/svingbart"", ""Kassettspiller"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""M\u00f8rke ruter bak"", ""Oppvarmede seter"", ""Seter i helskinn"", ""Takrails"", ""Vinterhjul""]"
341468024,[]
341465253,[]
341467433,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Bagasjeromstrekk"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Navigasjonssystem"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Startsperre"", ""Vinterhjul""]"
341450363,"[""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Sommerhjul"", ""Vinterhjul""]"
339449551,"[""ABS-bremser"", ""Airbag foran"", ""Antispinn"", ""Bagasjeromstrekk"", ""Bluetooth"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Oppvarmede seter"", ""Parkeringsensor bak"", ""Parkeringsensor foran"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Startsperre"", ""Vinterhjul""]"
340709749,[]
340116443,"[""Cruisekontroll Adaptiv"", ""Hengerfeste, fast krok"", ""Lasteholdere/skistativ"", ""Parkeringsensor bak"", ""Regnsensor"", ""Seter i helskinn"", ""Xenonlys""]"
341393682,[]
341371636,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Parkeringsensor bak"", ""Parkeringsensor foran"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
341357496,[]
341337477,"[""Hengerfeste, avtagbart/svingbart"", ""Sommerhjul"", ""Vinterhjul""]"
341312410,[]
329575602,[]
341236735,"[""El.vinduer"", ""Lettmet. felg vinter"", ""Radio FM""]"
341156032,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Bluetooth"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Multifunksjonsratt"", ""Oppvarmede seter"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Vinterhjul""]"
341140308,"[""CD-spiller"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Vinterhjul""]"
339212346,"[""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Sommerhjul"", ""Vinterhjul""]"
341076469,[]
341030130,"[""CD-spiller"", ""El.vinduer"", ""Oppvarmede seter"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
340980444,"[""Hengerfeste, fast krok""]"
340773696,"[""ABS-bremser"", ""Antiskrens"", ""Antispinn"", ""Cruisekontroll"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Parkeringsensor bak"", ""Regnsensor"", ""Vinterhjul""]"
338095889,"[""Kassettspiller"", ""Sommerhjul"", ""Vinterhjul""]"
341438349,"[""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Parkeringsensor bak"", ""Parkeringsensor foran"", ""Soltak/glasstak"", ""Sommerhjul"", ""Vinterhjul""]"
341448897,[]
341364136,[]
341405253,"[""ABS-bremser"", ""AUX-inngang"", ""Airbag foran"", ""Antiskrens"", ""Cruisekontroll"", ""Elektrisk sete u. memory"", ""Hengerfeste, fast krok"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Multifunksjonsratt"", ""Seter i delskinn""]"
341418757,"[""Air Condition"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Vinterhjul""]"
341404440,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Bagasjeromstrekk"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Seter i helskinn"", ""Sommerhjul"", ""Vinterhjul""]"
341399036,"[""ABS-bremser"", ""Airbag foran"", ""Antiskrens"", ""Bluetooth"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Lettmet. felg sommer"", ""Metallic lakk"", ""Midtarmlene"", ""Multifunksjonsratt"", ""M\u00f8rke ruter bak"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
341391897,[]
340912321,[]
341308515,[]
341299974,"[""ABS-bremser"", ""AUX tilkobling"", ""Airbag bak side"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Avtagbart hengerfeste"", ""Bagasjeromstrekk / hattehylle"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Interi\u00f8r sport"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lakkerte utvendige speil"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Lyktespylere"", ""Midtarmlene"", ""N\u00f8dbremseforsterker"", ""Oppvarmede seter"", ""Oppvarmede speil"", ""Pollenfilter"", ""Radio FM"", ""Regulerbart ratt"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Speil innfellbare"", ""Startsperre"", ""St\u00e5lbjelker"", ""Turteller"", ""Vinterdekk""]"
341290245,[]
341288097,"[""ABS-bremser"", ""Airbag foran"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Hel\u00e5rsdekk"", ""Hengerfeste, fast krok"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring""]"
341272866,"[""ABS-bremser"", ""Airbag foran"", ""CD-spiller"", ""Hengerfeste, fast krok"", ""Oppvarmede seter"", ""Radio FM"", ""Sideairbager"", ""Sommerhjul"", ""Vinterhjul""]"
341270123,[]
341264516,[]
340663753,[]
276218851,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Bluetooth"", ""Cruisekontroll"", ""El.vinduer"", ""Handsfree opplegg"", ""Hengerfeste, fast krok"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Seter i helskinn"", ""Sideairbager"", ""Sommerhjul"", ""Sportsseter"", ""Takrails"", ""Vinterhjul""]"
341253086,"[""ABS-bremser"", ""Airbag foran"", ""Antispinn"", ""Bagasjeromstrekk / hattehylle"", ""El.vinduer"", ""Isofix"", ""Kj\u00f8recomputer"", ""Lettmet. felg vinter"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Vinterdekk"", ""Xenonlys""]"
341243608,[]
