id,Finnkode,Equipment
69,323734059,"[""ABS-bremser"", ""Airbag foran"", ""Airbag foran side"", ""Antispinn"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Hengerfeste"", ""Lakkerte utvendige speil"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Multifunksjonsratt"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Startsperre"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
70,322623632,[]
71,322623878,[]
72,321179229,"[""ABS-bremser"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hel\u00e5rsdekk"", ""Hengerfeste"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Manuelt klimaanlegg"", ""Midtarmlene"", ""Sentrall\u00e5s"", ""Servostyring"", ""Takrails""]"
73,317723015,"[""ABS-bremser"", ""Airbag bak side"", ""Airbag foran"", ""Airbag foran side"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""Cruisekontroll"", ""Ekstra m\u00f8rktonede vinduer bak"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Isofix"", ""Justerbare bakseter"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lakkerte utvendige speil"", ""Lettmet. felg vinter"", ""Lyktespylere"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Speil innfellbare"", ""Speil innfellbare elektriske"", ""Takrails"", ""Turteller"", ""Vinterdekk""]"
74,317631626,[]
75,308729745,"[""El.vinduer"", ""Elektriske speil"", ""Sommerhjul"", ""Vinterhjul""]"
76,306325555,"[""ABS-bremser"", ""Airbag foran"", ""Airbag foran side"", ""Alarm"", ""CD-spiller"", ""Cruisekontroll"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lyktespylere"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Oppvarmet frontrute"", ""Radio DAB+"", ""Radio FM"", ""Ratt oppvarmet"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""St\u00e5lbjelker"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
77,306114914,[]
78,299707430,"[""Diesel-partikkelfilter""]"
79,292341169,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Bagasjeromstrekk"", ""CD-spiller"", ""El.vinduer"", ""Isofix"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""M\u00f8rke ruter bak"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Startsperre""]"
