Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Årsavgift,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
67,335882879,2005,268709,Manuell,Diesel,1777,Svart,Forhjulsdrift,136,2,1710,176,7,Flerbruksbil,4,6,Personbil,2000,11777
68,339737318,2007,190780,Manuell,Bensin,0,Svart,Forhjulsdrift,102,1.6,1308,187,5,Flerbruksbil,5,6,Personbil,1200,15000
69,339722924,2003,126000,Manuell,Bensin,3074,Sølv,Forhjulsdrift,75,1.4,1186,156,5,KombiFemDørs,5,6,Personbil,1000,13074
70,339672965,2008,296497,Manuell,Bensin,0,Svart,Forhjulsdrift,99,1.6,1275,167,4,KombiTredørs,2,8,Personbil,1200,14000
71,339672436,2004,123456,Manuell,Bensin,1845,Svart,Firehjulsdrift,163,1.8,1525,223,5,Stasjonsvogn,4,4,Personbil,1600,13845
72,339631836,2007,170190,Manuell,Bensin,1845,Grønn,Forhjulsdrift,64,1.2,1173,144,5,Coupe,4,8,Personbil,800,10845
73,339377270,2010,303968,Manuell,Diesel,1845,Sølv,Forhjulsdrift,105,1.9,1603,140,7,Flerbruksbil,5,5,Personbil,1200,14845
74,339218905,2007,240000,Manuell,Diesel,0,Sølv,Firehjulsdrift,150,2,1643,184,5,KombiFemDørs,5,1,Personbil,1400,15000
75,339173613,2008,201600,Manuell,Bensin,0,Beige,Forhjulsdrift,64,1.2,1165,145,5,Stasjonsvogn,5,2,Personbil,750,14900
76,339030559,2007,335000,Manuell,Diesel,1845,Grå,Forhjulsdrift,126,2,1465,155,5,Stasjonsvogn,5,3,Personbil,1300,11845
77,338826148,2006,299081,Manuell,Diesel,1845,Rød,Forhjulsdrift,101,1.9,1285,140,5,Stasjonsvogn,5,3,Personbil,1300,11845
78,338799098,2004,180715,Manuell,Bensin,3074,Svart,Forhjulsdrift,95,1.5,1195,161,5,Stasjonsvogn,2,3,Personbil,1000,13074
79,338499955,2002,209876,Manuell,Bensin,0,Gul,Forhjulsdrift,86,1.3,1000,155,5,KombiFemDørs,4,6,Personbil,900,12000
80,338409566,2003,139900,Manuell,Bensin,1880,Sølv,Forhjulsdrift,122,1.8,1300,190,5,Sedan,4,4,Personbil,1300,11880
81,338377505,2009,260000,Manuell,Diesel,1845,Hvit,Forhjulsdrift,120,1.9,1490,147,5,Sedan,4,7,Personbil,1500,12845
82,338257867,2008,191016,Manuell,Diesel,0,Sølv,Forhjulsdrift,109,1.6,1319,129,5,Sedan,4,5,Personbil,1300,15000
83,338025371,2004,252552,Manuell,Diesel,3074,Gull,Forhjulsdrift,75,1.4,1100,129,4,KombiTredørs,2,2,Personbil,650,13074
84,335952689,2003,246000,Automat,Bensin,1845,Grå,Forhjulsdrift,179,2,1562,246,5,Sedan,4,3,Personbil,1600,12345
85,337315694,2008,197769,Automat,Bensin,1800,Sølv,Forhjulsdrift,87,1.3,1025,136,5,Sedan,4,7,Personbil,750,14300
86,337298899,2007,181000,Manuell,Diesel,1845,Sølv,Forhjulsdrift,121,2,1430,158,5,Stasjonsvogn,4,3,Personbil,1000,13845
87,334372452,2001,314700,Automat,Bensin,1777,Sølv,Firehjulsdrift,200,2.4,1687,254,5,Stasjonsvogn,5,9,Personbil,1800,13777
88,318452067,2004,250080,Manuell,Bensin,1845,Svart,Forhjulsdrift,165,2.4,1645,223,7,Flerbruksbil,5,5,Personbil,1600,13845
89,336328005,2004,195526,Automat,Bensin,1777,Grå,Forhjulsdrift,87,1.3,935,150,5,KombiFemDørs,4,7,Personbil,900,14777
90,326510990,2004,238000,Manuell,Bensin,1777,Blå,Forhjulsdrift,122,1.8,1280,187,5,Stasjonsvogn,5,6,Personbil,1200,11777
91,335892487,2003,335000,Manuell,Bensin,1845,Sølv,Forhjulsdrift,140,2.4,1509,217,5,Stasjonsvogn,5,8,Personbil,1800,14845
92,326820238,2004,266000,Automat,Bensin,1777,Grå,Firehjulsdrift,150,2,1483,221,5,SUVOffroad,5,2,Personbil,1200,13777
93,335181068,2006,150000,Manuell,Bensin,1845,Grå,Bakhjulsdrift,116,1.6,1415,184,5,Sedan,4,8,Personbil,1100,13845
94,335147584,2004,246000,Manuell,Bensin,1845,Grønn,Forhjulsdrift,116,1.8,1245,184,5,KombiFemDørs,4,7,Personbil,1300,14000
95,334478152,2003,203000,Manuell,Diesel,1777,Svart,Firehjulsdrift,116,2,1370,190,5,KombiFemDørs,4,7,Personbil,1500,14777
96,334094084,2004,75000,Manuell,Bensin,1777,Svart,Forhjulsdrift,60,1.1,1053,140,5,KombiFemDørs,4,6,Personbil,926,14777
97,332526123,2008,200000,Manuell,Bensin,1777,Svart,Forhjulsdrift,95,1.3,1050,143,5,KombiFemDørs,4,12,Personbil,1000,13777
98,325881927,2004,310000,Manuell,Bensin,1777,Grå,Forhjulsdrift,116,1.7,1550,187,5,Sedan,4,8,Personbil,1300,11277
99,324810711,2010,246468,Manuell,Diesel,1777,Svart,Firehjulsdrift,150,2,1571,167,5,Stasjonsvogn,5,6,Personbil,1700,11777
100,317631626,2007,263500,Manuell,Diesel,1777,Sølv,Forhjulsdrift,125,1.8,1744,164,7,KombiFemDørs,4,10,Personbil,1450,11777
101,326202158,2005,225474,Manuell,Diesel,1777,Svart,Bakhjulsdrift,109,2,1360,151,5,Flerbruksbil,5,7,Personbil,1500,16777
102,341462736,2004,250321,Manuell,Diesel,1845,Sølv,Firehjulsdrift,101,1.9,1512,170,5,Stasjonsvogn,4,8,Personbil,1500,15845
103,341273953,2007,267300,Manuell,Diesel,1845,Svart,Forhjulsdrift,105,1.9,1455,161,2,Kasse,4,5,Varebil,1500,19845
104,341443455,2008,132000,Manuell,Bensin,0,Blå,Forhjulsdrift,69,1.2,1091,138,5,KombiFemDørs,4,6,Personbil,800,19500
105,341426530,2005,207789,Manuell,Bensin,1845,Grå,Forhjulsdrift,125,1.8,1299,174,5,Stasjonsvogn,5,3,Personbil,1300,16845
106,341303215,2010,217500,Manuell,Diesel,1845,Grå,Forhjulsdrift,129,2.2,1490,139,5,Stasjonsvogn,5,4,Personbil,1400,16345
107,341405765,2012,188800,Manuell,Diesel,1845,Grå,Forhjulsdrift,129,2.2,1657,135,5,Stasjonsvogn,4,5,Personbil,1400,17844
108,332356282,2008,190000,Manuell,Diesel,1186,Blå,Forhjulsdrift,140,2.2,1830,213,3,Kasse,5,7,Varebil,2000,16186
109,341175878,2007,167300,Manuell,Bensin,3074,Svart,Forhjulsdrift,64,1.2,1091,144,5,KombiFemDørs,5,4,Personbil,800,16074
110,341378802,2004,192885,Manuell,Bensin,1845,Grå,Forhjulsdrift,109,1.6,1438,178,4,Cabriolet,2,3,Personbil,1200,16345
111,341382285,2006,217922,Manuell,Diesel,1845,Sølv,Forhjulsdrift,90,1.4,1205,128,5,KombiFemDørs,5,4,Personbil,1000,19845
112,341332527,2005,123456,Automat,Bensin,1845,Svart,Firehjulsdrift,209,2.5,2088,282,7,SUVOffroad,5,9,Personbil,2250,19995
113,337559609,2004,294000,Automat,Bensin,0,Sølv,Bakhjulsdrift,163,1.8,1530,214,5,Sedan,4,10,Personbil,1900,19845
114,338807796,2008,331893,Manuell,Diesel,1845,Grå,Firehjulsdrift,105,1.9,1389,158,5,KombiFemDørs,5,2,Personbil,1500,18845
115,341344762,2007,293000,Automat,Diesel,1845,Grå,Forhjulsdrift,131,2,1522,189,5,Stasjonsvogn,5,5,Personbil,2000,19845
116,331405232,2006,110000,Manuell,Bensin,1777,Svart,Bakhjulsdrift,116,1.6,1340,184,5,Sedan,4,4,Personbil,1100,16777
117,341339015,1999,151690,Manuell,Bensin,1845,Blå,Forhjulsdrift,101,1.6,1100,192,5,KombiFemDørs,5,8,Personbil,1150,16845
118,341323168,2009,222490,Manuell,Diesel,1845,Svart,Forhjulsdrift,90,1.6,1277,119,5,KombiFemDørs,5,6,Personbil,1200,18500
119,341296408,2007,225000,Manuell,Bensin,1845,Sølv,Forhjulsdrift,110,1.6,1315,173,5,Stasjonsvogn,4,9,Personbil,1300,16845
120,341291677,2007,325363,Manuell,Diesel,1845,Brun,Firehjulsdrift,140,2,1477,158,5,Stasjonsvogn,5,1,Personbil,1500,17845
121,341281873,2003,421000,Automat,Diesel,1845,Svart,Forhjulsdrift,131,2.4,1567,204,5,Sedan,4,16,Personbil,1800,17845
122,341267824,2005,119315,Automat,Bensin,1845,Sølv,Forhjulsdrift,150,2,1580,251,5,Stasjonsvogn,5,2,Personbil,1800,19845
123,341223804,2008,158708,Manuell,Diesel,1845,Grå,Forhjulsdrift,90,1.6,1280,120,5,Sedan,4,9,Personbil,1150,18745
124,341263024,2007,259044,Manuell,Diesel,1845,Blå,Forhjulsdrift,105,1.9,1625,159,5,Stasjonsvogn,5,2,Personbil,1500,18845
125,341240236,2003,150000,Manuell,Diesel,0,Rød,Firehjulsdrift,114,2.2,1525,190,5,SUVOffroad,4,5,Personbil,2000,17000
126,341218004,2008,277000,Manuell,Diesel,1845,Svart,Forhjulsdrift,109,1.6,1275,128,5,KombiFemDørs,5,12,Personbil,1300,18845
127,341219456,2000,105000,Manuell,Bensin,1845,Blå,Forhjulsdrift,68,1,865,137,5,KombiFemDørs,4,5,Personbil,650,16845
128,341214340,2007,200000,Manuell,Diesel,1845,Svart,Forhjulsdrift,116,2,1564,163,5,Stasjonsvogn,5,3,Personbil,1800,19845
129,341208285,2005,156813,Manuell,Bensin,1800,Sølv,Forhjulsdrift,91,1.3,1065,148,5,Sedan,4,9,Personbil,1000,18800
130,341202275,2011,256864,Manuell,Diesel,0,Hvit,Forhjulsdrift,116,1.6,1570,125,5,Stasjonsvogn,4,5,Personbil,1600,18000
131,341182604,2011,154300,Automat,Bensin,1845,Sølv,Forhjulsdrift,95,1.3,975,127,5,KombiFemDørs,4,7,Personbil,1000,19845
132,340727159,2008,347000,Manuell,Diesel,845,Grå,Forhjulsdrift,126,2.4,1622,172,5,Stasjonsvogn,5,3,Personbil,1800,18845
133,341129800,2002,201170,Manuell,Bensin,1845,Blå,Forhjulsdrift,68,1,850,137,5,KombiTredørs,3,7,Personbil,650,16845
134,341126322,2008,298000,Manuell,Diesel,0,Svart,Forhjulsdrift,105,1.9,1552,137,5,Stasjonsvogn,5,9,Personbil,1200,18500
135,336249461,2003,242000,Automat,Bensin,1845,Svart,Bakhjulsdrift,163,1.8,1670,230,5,Stasjonsvogn,5,7,Personbil,2100,15845
136,340997492,2009,290000,Manuell,Bensin,1845,Sølv,Forhjulsdrift,95,1.3,975,119,5,KombiFemDørs,5,2,Personbil,1000,18845
137,340972845,2006,85250,Manuell,Bensin,1845,Grå,Forhjulsdrift,67,1,830,0,4,KombiFemDørs,5,2,Personbil,0,19900
138,340933587,2007,201000,Automat,Diesel,1845,Svart,Forhjulsdrift,105,1.9,1654,161,7,Flerbruksbil,5,12,Personbil,1500,16845
139,340896121,2002,166050,Manuell,Bensin,1845,Sølv,Forhjulsdrift,98,1.6,1175,171,5,Stasjonsvogn,5,5,Personbil,1200,16845
140,340900915,2008,316000,Automat,Diesel,1845,Svart,Forhjulsdrift,140,2,1519,165,5,Stasjonsvogn,5,3,Personbil,1800,15845
141,340900847,2010,144000,Manuell,Bensin,1845,Sølv,Forhjulsdrift,69,1,890,118,5,KombiFemDørs,5,4,Personbil,750,16845
142,340898740,2008,253000,Manuell,Diesel,1845,Svart,Forhjulsdrift,126,2,1465,155,5,Stasjonsvogn,5,3,Personbil,1300,18845
143,340856953,2007,286600,Automat,Diesel,1845,Grønn,Forhjulsdrift,140,2,1674,178,5,Stasjonsvogn,5,9,Personbil,1800,19845
144,340896198,2004,158062,Manuell,Diesel,1845,Blå,Forhjulsdrift,109,1.6,1317,129,5,Flerbruksbil,5,4,Personbil,1300,16845
145,340893802,2013,129000,Manuell,Bensin,4672,Brun,Forhjulsdrift,101,1,1049,99,5,KombiFemDørs,5,9,Personbil,900,18172
146,340845252,2005,214650,Manuell,Bensin,3074,Svart,Forhjulsdrift,80,1.4,1134,155,5,Stasjonsvogn,4,4,Personbil,900,18074
