Finnkode,car_name,Price,Specifications,Equipment
328873302,Smart Forfour,10000,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""208 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Airbag foran side"", ""Antiskrens"", ""CD-spiller"", ""El.vinduer"", ""Fjernstyrt sentrall\u00e5s"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
326581266,Hyundai Getz,6999,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""84 468 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}",[]
326163471,Volkswagen Touran,9999,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""235 774 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
325586826,Peugeot Partner,6186,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""186 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""El.vinduer"", ""Hengerfeste, fast krok"", ""Kj\u00f8recomputer"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
323307060,Volvo S80,9900,"{""Modell\u00e5r"": ""2002"", ""Kilometer"": ""345 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""Hengerfeste""]"
322624064,Toyota Corolla,9999,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""282 999 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
317512983,Renault Kangoo,7186,"{""Modell\u00e5r"": ""2003"", ""Kilometer"": ""195 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
312416240,Volkswagen Touran,9800,"{""Modell\u00e5r"": ""2003"", ""Kilometer"": ""302 969 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""Hengerfeste"", ""Sommerdekk""]"
308096688,Opel Corsa,6999,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""141 519 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
306412306,Volkswagen Touran,9999,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""199 908 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
299261308,Suzuki Grand Vitara,10000,"{""Modell\u00e5r"": ""2001"", ""Kilometer"": ""220 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel""}",[]
295670731,Volkswagen Touran,9999,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""248 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""CD-spiller"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""M\u00f8rke ruter bak"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sideairbager"", ""Sommerhjul"", ""Takrails"", ""Vinterhjul""]"
293419507,Volkswagen Polo,6777,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""350 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""Airbag foran"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Metallic lakk"", ""Radio FM"", ""Servostyring"", ""Startsperre"", ""Vinterhjul""]"
340998188,Volkswagen Touran,11231,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""214 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Lasteholdere/skistativ"", ""Radio DAB+"", ""Radio FM"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
340900791,Ford Mondeo,13845,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""299 999 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""AUX tilkobling"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Fabrikkmontert alarm"", ""Fjernstyrt sentrall\u00e5s"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Manuelt klimaanlegg"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Takrails"", ""T\u00e5kelys"", ""Vinterdekk""]"
340887706,Hyundai i30,11845,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""255 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""Diesel-partikkelfilter"", ""Hengerfeste"", ""Sommerdekk"", ""Vinterdekk""]"
340417958,Citroen Berlingo,13000,"{""Modell\u00e5r"": ""2010"", ""Kilometer"": ""282 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
