Finnkode,car_name,Link,Price
341405253,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=341405253,11845.0
341418757,Renault Trafic,https://www.finn.no/car/used/ad.html?finnkode=341418757,11231.0
341404440,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=341404440,13345.0
341399036,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341399036,11845.0
341391897,Volkswagen Caravelle,https://www.finn.no/car/used/ad.html?finnkode=341391897,15000.0
340912321,Citroen C5,https://www.finn.no/car/used/ad.html?finnkode=340912321,11845.0
341308515,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341308515,12900.0
341299974,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=341299974,15000.0
341290245,Suzuki SJ,https://www.finn.no/car/used/ad.html?finnkode=341290245,13500.0
341288097,Suzuki Liana,https://www.finn.no/car/used/ad.html?finnkode=341288097,11845.0
341272866,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=341272866,11231.0
341270123,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341270123,13845.0
341264516,Hyundai H-1,https://www.finn.no/car/used/ad.html?finnkode=341264516,15000.0
340663753,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=340663753,11345.0
276218851,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=276218851,14845.0
341253086,Renault Megane,https://www.finn.no/car/used/ad.html?finnkode=341253086,11845.0
341243608,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341243608,13845.0
341209806,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=341209806,11845.0
341203941,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=341203941,11845.0
331220004,Think City,https://www.finn.no/car/used/ad.html?finnkode=331220004,13777.0
341050438,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=341050438,13845.0
340909672,Ford Galaxy,https://www.finn.no/car/used/ad.html?finnkode=340909672,13000.0
341169224,Chrysler Voyager,https://www.finn.no/car/used/ad.html?finnkode=341169224,11777.0
341155397,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=341155397,14000.0
341152281,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341152281,13845.0
341146104,Mitsubishi Space Star I,https://www.finn.no/car/used/ad.html?finnkode=341146104,15000.0
341140673,Opel Corsa,https://www.finn.no/car/used/ad.html?finnkode=341140673,13845.0
341120830,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341120830,13000.0
341109762,Nissan Micra,https://www.finn.no/car/used/ad.html?finnkode=341109762,13074.0
331081371,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=331081371,11777.0
341064397,Suzuki SX4,https://www.finn.no/car/used/ad.html?finnkode=341064397,10845.0
341008601,Volkswagen Caravelle,https://www.finn.no/car/used/ad.html?finnkode=341008601,13845.0
340996090,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340996090,13845.0
340998952,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=340998952,14845.0
340966839,Toyota HiAce,https://www.finn.no/car/used/ad.html?finnkode=340966839,11231.0
260150419,Mercedes-Benz S-Klasse,https://www.finn.no/car/used/ad.html?finnkode=260150419,11729.0
340927638,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=340927638,11845.0
340932421,Volkswagen Bora,https://www.finn.no/car/used/ad.html?finnkode=340932421,11845.0
340913122,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=340913122,10845.0
340894678,Subaru Impreza,https://www.finn.no/car/used/ad.html?finnkode=340894678,11345.0
340895717,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=340895717,11845.0
340896181,Volkswagen Bora,https://www.finn.no/car/used/ad.html?finnkode=340896181,13074.0
340880672,Honda Jazz,https://www.finn.no/car/used/ad.html?finnkode=340880672,11845.0
340782840,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=340782840,14345.0
340881157,Mercedes-Benz A-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340881157,12745.0
340883848,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=340883848,13231.0
340829486,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340829486,14345.0
340812596,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=340812596,13845.0
340805035,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=340805035,11845.0
321969199,BMW 5-serie,https://www.finn.no/car/used/ad.html?finnkode=321969199,14777.0
340743831,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340743831,10845.0
340663689,Hyundai i20,https://www.finn.no/car/used/ad.html?finnkode=340663689,13074.0
340521678,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340521678,10845.0
340572987,Ford Ka,https://www.finn.no/car/used/ad.html?finnkode=340572987,14900.0
340600507,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=340600507,11231.0
340568859,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=340568859,11231.0
340557446,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=340557446,11845.0
333797999,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=333797999,11186.0
340513626,Chrysler Neon,https://www.finn.no/car/used/ad.html?finnkode=340513626,13074.0
340407823,Volvo 850,https://www.finn.no/car/used/ad.html?finnkode=340407823,10845.0
340339850,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=340339850,11845.0
340344685,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=340344685,13845.0
340336684,Audi A3,https://www.finn.no/car/used/ad.html?finnkode=340336684,15000.0
340316036,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340316036,11845.0
340278924,BMW 5-serie,https://www.finn.no/car/used/ad.html?finnkode=340278924,14845.0
340252602,Opel Combo,https://www.finn.no/car/used/ad.html?finnkode=340252602,11231.0
340245167,Jeep Grand Cherokee,https://www.finn.no/car/used/ad.html?finnkode=340245167,12845.0
337270395,Toyota Verso-S,https://www.finn.no/car/used/ad.html?finnkode=337270395,13074.0
340217345,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=340217345,12000.0
340160567,Peugeot 308,https://www.finn.no/car/used/ad.html?finnkode=340160567,13845.0
340114987,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=340114987,12000.0
340064123,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=340064123,11845.0
340070645,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340070645,12000.0
340027477,Subaru Outback,https://www.finn.no/car/used/ad.html?finnkode=340027477,15000.0
339989470,Honda Civic,https://www.finn.no/car/used/ad.html?finnkode=339989470,13074.0
268882640,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=268882640,10729.0
339971700,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=339971700,11845.0
339953642,Jaguar S-TYPE,https://www.finn.no/car/used/ad.html?finnkode=339953642,13845.0
339611012,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=339611012,12845.0
266495230,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=266495230,15729.0
339814746,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=339814746,11845.0
339778227,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=339778227,10845.0
337882443,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=337882443,12845.0
335882879,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=335882879,11777.0
339737318,Volkswagen Golf Plus,https://www.finn.no/car/used/ad.html?finnkode=339737318,15000.0
339722924,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=339722924,13074.0
339697718,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=339697718,13845.0
339707221,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=339707221,12990.0
339672965,Volvo C30,https://www.finn.no/car/used/ad.html?finnkode=339672965,14000.0
339672436,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=339672436,13845.0
339631836,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=339631836,10845.0
339377270,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=339377270,14845.0
325954988,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=325954988,14777.0
339218905,Nissan Qashqai,https://www.finn.no/car/used/ad.html?finnkode=339218905,15000.0
339186258,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=339186258,11231.0
339173613,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=339173613,14900.0
339030559,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=339030559,11845.0
338826148,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=338826148,11845.0
338799098,Mercedes-Benz A-Klasse,https://www.finn.no/car/used/ad.html?finnkode=338799098,13074.0
338710922,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=338710922,11845.0
338628651,Citroen Jumpy,https://www.finn.no/car/used/ad.html?finnkode=338628651,15000.0
338499955,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=338499955,12000.0
338409566,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=338409566,11880.0
338380882,Think City,https://www.finn.no/car/used/ad.html?finnkode=338380882,12074.0
338377505,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=338377505,12845.0
